tf,corr,nz,sum_a,sum_b,mean_a,mean_b,mean_ratio
KLF7,0.9999999999999999,5195,258.4308120406587,258.4308120406586,0.015002369211695035,0.015002369211695033,1.0000000000000002
ZNF135,0.9999999999999999,2623,100.96043962324357,100.96043962324357,0.005860933450786228,0.005860933450786228,1.0
BCL6,0.9999999999999999,2889,154.13053623890252,154.13053623890255,0.00894755231852447,0.008947552318524472,0.9999999999999998
BCL11B,0.9999999999999999,3280,65.22678073158391,65.2267807315839,0.003786530867966093,0.003786530867966092,1.0000000000000002
ZBTB44,0.9999999999999999,1043,50.413122016927254,50.413122016927254,0.0029265715788300973,0.0029265715788300973,1.0
ZNF736,0.9999999999999999,1635,108.13388534170434,108.13388534170434,0.006277364759184044,0.006277364759184044,1.0
KLF8,0.9999999999999999,2182,89.4028567443952,89.4028567443952,0.0051899951668637635,0.0051899951668637635,1.0
ZFP64,0.9999999999999999,4642,143.2554605003987,143.2554605003987,0.008316234790456211,0.008316234790456211,1.0
ZNF175,0.9999999999999999,868,47.008159888322965,47.008159888322965,0.002728907458976139,0.002728907458976139,1.0
ETS1,0.9999999999999999,4835,193.6247811130996,193.62478111309963,0.011240263619708557,0.011240263619708559,0.9999999999999999
BHLHE41,0.9999999999999999,1214,13.531536665126586,13.531536665126586,0.000785529819176047,0.000785529819176047,1.0
BBX,0.9999999999999999,443,29.59725255279302,29.597252552793016,0.0017181732586086741,0.001718173258608674,1.0000000000000002
ETV3,0.9999999999999999,3113,94.08451821179577,94.08451821179577,0.0054617739586552755,0.0054617739586552755,1.0
ZBTB33,0.9999999999999999,1937,22.783267924710934,22.783267924710938,0.0013226093071351988,0.001322609307135199,0.9999999999999999
ZNF18,0.9999999999999999,4256,73.85711170693209,73.85711170693212,0.004287536961972141,0.0042875369619721415,0.9999999999999997
ZNF707,0.9999999999999999,3983,94.36181837571257,94.36181837571257,0.005477871727372146,0.005477871727372146,1.0
ZBTB26,0.9999999999999999,5046,15.803952628004682,15.803952628004685,0.0009174476156974737,0.0009174476156974739,0.9999999999999998
FOXK1,0.9999999999999999,3606,134.80474368676673,134.80474368676673,0.007825655618644302,0.007825655618644302,1.0
ZNF7,0.9999999999999999,1917,58.58648579562356,58.58648579562356,0.0034010499126682667,0.0034010499126682667,1.0
FOXO1,0.9999999999999999,3733,184.5304908710773,184.5304908710773,0.010712323863408644,0.010712323863408644,1.0
FOXO3,0.9999999999999999,5810,207.22045428660786,207.22045428660786,0.012029516677499585,0.012029516677499585,1.0
ETV1,0.9999999999999999,6029,102.0385979746999,102.03859797469994,0.0059235224645709916,0.005923522464570994,0.9999999999999996
EOMES,0.9999999999999999,2885,30.91375315071427,30.913753150714278,0.0017945984645718258,0.0017945984645718262,0.9999999999999998
ZNF154,0.9999999999999999,595,22.624252868269796,22.624252868269796,0.0013133781997137928,0.0013133781997137928,1.0
ZFP3,0.9999999999999999,2336,27.836067194135847,27.836067194135847,0.001615933309772196,0.001615933309772196,1.0
ZNF784,0.9999999999999999,1982,19.015798419688302,19.015798419688295,0.0011039009880232382,0.0011039009880232378,1.0000000000000004
ZFHX3,0.9999999999999999,408,28.161048926467316,28.161048926467316,0.001634799078513138,0.001634799078513138,1.0
CREB3L4,0.9999999999999999,3148,52.07809392187662,52.078093921876615,0.00302322616520821,0.0030232261652082095,1.0000000000000002
CREBL2,0.9999999999999999,424,5.504774328855182,5.504774328855182,0.00031956196034222577,0.00031956196034222577,1.0
ZNF782,0.9999999999999999,1434,51.60650603662293,51.60650603662293,0.002995849648010155,0.002995849648010155,1.0
ZNF787,0.9999999999999999,5710,212.942467468684,212.942467468684,0.012361689740432136,0.012361689740432136,1.0
ZFP14,0.9999999999999999,3687,83.92516057043879,83.92516057043876,0.004872005141671821,0.00487200514167182,1.0000000000000004
ZNF778,0.9999999999999999,3892,125.07841466633114,125.07841466633114,0.007261024884844487,0.007261024884844487,1.0
ZNF777,0.9999999999999999,1354,55.52304960875781,55.52304960875781,0.0032232119823962504,0.0032232119823962504,1.0
ZNF79,0.9999999999999999,1402,54.409839496001155,54.409839496001155,0.003158588151399115,0.003158588151399115,1.0
DBP,0.9999999999999999,2471,35.55462843443234,35.55462843443233,0.0020640095457118506,0.00206400954571185,1.0000000000000002
ZNF771,0.9999999999999999,1588,34.188940013176044,34.188940013176044,0.001984728898942067,0.001984728898942067,1.0
E2F1,0.9999999999999999,6445,197.88653003828668,197.88653003828674,0.011487665740060762,0.011487665740060765,0.9999999999999997
ZNF77,0.9999999999999999,1375,12.170618591403375,12.170618591403375,0.0007065260995822231,0.0007065260995822231,1.0
